run_ts_utc,open_time_utc,close_time_utc,yes_qty,no_qty,yes_avg_cents,no_avg_cents,pair_cost_cents,pair_cost_dollars,pnl_yes_win,pnl_no_win
2026-03-01T23:00:02.256725600+00:00,2026-03-01T22:45:00+00:00,2026-03-01T23:00:00+00:00,13,9,26.53,72.11,98.64,0.9864,3.0600000000000005,-0.9399999999999995
2026-03-01T23:15:02.210068200+00:00,2026-03-01T23:00:00+00:00,2026-03-01T23:15:00+00:00,72,80,60.25,38.50,98.75,0.9875,-2.180000000000007,5.819999999999993
2026-03-01T23:30:02.247042700+00:00,2026-03-01T23:15:00+00:00,2026-03-01T23:30:00+00:00,555,539,34.18,65.06,99.24,0.9924,14.57000000000005,-1.42999999999995
2026-03-01T23:45:02.244880900+00:00,2026-03-01T23:30:00+00:00,2026-03-01T23:45:00+00:00,360,376,71.15,28.09,99.24,0.9924,-1.8000000000000114,14.199999999999989
2026-03-02T00:00:02.215924500+00:00,2026-03-01T23:45:00+00:00,2026-03-02T00:00:00+00:00,197,185,38.65,60.57,99.22,0.9922,8.780000000000001,-3.219999999999999
2026-03-02T00:15:03.970232600+00:00,2026-03-02T00:00:00+00:00,2026-03-02T00:15:00+00:00,99,105,76.03,23.20,99.23,0.9923,-0.6299999999999955,5.3700000000000045
